name,seed,acc,fit_s,pred_s
PCA-c5_d8_lda2,0,0.7528,85.7,11.6
PCA-c5_d8_lda2,1,0.7613,83.0,16.3
PCA-c5_d8_lda2,2,0.7514,131.9,16.2
PCA-c5_d8_lda2,42,0.7387,93.7,15.2
SVM-poly_d4_lda2,0,0.7627,59.2,32.7
SVM-poly_d4_lda2,1,0.7669,32.9,22.0
SVM-poly_d4_lda2,2,0.7556,44.0,23.7
SVM-poly_d4_lda2,42,0.7401,31.9,22.8
orth_d4_lda2,0,0.7542,69.4,12.4
orth_d4_lda2,1,0.7641,66.1,13.0
orth_d4_lda2,2,0.7486,125.3,18.3
orth_d4_lda2,42,0.7486,188.4,20.3
orth_d8_noLDA,0,0.7669,87.1,19.2
orth_d8_noLDA,1,0.7655,85.0,20.0
orth_d8_noLDA,2,0.7655,64.9,21.2
orth_d8_noLDA,42,0.7387,59.4,18.4
